,jour,nomReg,numReg,incid_rea
423,2021-05-16,Guadeloupe,1.0,0
424,2021-05-17,Guadeloupe,1.0,0
425,2021-05-18,Guadeloupe,1.0,1
426,2021-05-19,Guadeloupe,1.0,5
427,2021-05-20,Guadeloupe,1.0,2
428,2021-05-21,Guadeloupe,1.0,0
429,2021-05-22,Guadeloupe,1.0,3
430,2021-05-23,Guadeloupe,1.0,3
431,2021-05-24,Guadeloupe,1.0,0
432,2021-05-25,Guadeloupe,1.0,1
433,2021-05-26,Guadeloupe,1.0,2
434,2021-05-27,Guadeloupe,1.0,1
435,2021-05-28,Guadeloupe,1.0,1
436,2021-05-29,Guadeloupe,1.0,3
437,2021-05-30,Guadeloupe,1.0,2
438,2021-05-31,Guadeloupe,1.0,4
439,2021-06-01,Guadeloupe,1.0,4
440,2021-06-02,Guadeloupe,1.0,1
441,2021-06-03,Guadeloupe,1.0,3
442,2021-06-04,Guadeloupe,1.0,1
443,2021-06-05,Guadeloupe,1.0,6
444,2021-06-06,Guadeloupe,1.0,2
445,2021-06-07,Guadeloupe,1.0,0
446,2021-06-08,Guadeloupe,1.0,3
447,2021-06-09,Guadeloupe,1.0,1
448,2021-06-10,Guadeloupe,1.0,2
449,2021-06-11,Guadeloupe,1.0,2
450,2021-06-12,Guadeloupe,1.0,2
451,2021-06-13,Guadeloupe,1.0,1
452,2021-06-14,Guadeloupe,1.0,1
453,2021-06-15,Guadeloupe,1.0,1
454,2021-06-16,Guadeloupe,1.0,0
455,2021-06-17,Guadeloupe,1.0,4
456,2021-06-18,Guadeloupe,1.0,0
457,2021-06-19,Guadeloupe,1.0,0
458,2021-06-20,Guadeloupe,1.0,1
459,2021-06-21,Guadeloupe,1.0,0
460,2021-06-22,Guadeloupe,1.0,0
461,2021-06-23,Guadeloupe,1.0,0
462,2021-06-24,Guadeloupe,1.0,0
463,2021-06-25,Guadeloupe,1.0,1
464,2021-06-26,Guadeloupe,1.0,0
465,2021-06-27,Guadeloupe,1.0,0
466,2021-06-28,Guadeloupe,1.0,0
467,2021-06-29,Guadeloupe,1.0,2
468,2021-06-30,Guadeloupe,1.0,3
469,2021-07-01,Guadeloupe,1.0,0
470,2021-07-02,Guadeloupe,1.0,0
471,2021-07-03,Guadeloupe,1.0,0
472,2021-07-04,Guadeloupe,1.0,0
473,2021-07-05,Guadeloupe,1.0,0
474,2021-07-06,Guadeloupe,1.0,1
475,2021-07-07,Guadeloupe,1.0,0
476,2021-07-08,Guadeloupe,1.0,0
477,2021-07-09,Guadeloupe,1.0,0
478,2021-07-10,Guadeloupe,1.0,0
479,2021-07-11,Guadeloupe,1.0,0
480,2021-07-12,Guadeloupe,1.0,0
481,2021-07-13,Guadeloupe,1.0,1
482,2021-07-14,Guadeloupe,1.0,2
483,2021-07-15,Guadeloupe,1.0,0
484,2021-07-16,Guadeloupe,1.0,0
485,2021-07-17,Guadeloupe,1.0,3
486,2021-07-18,Guadeloupe,1.0,1
487,2021-07-19,Guadeloupe,1.0,0
488,2021-07-20,Guadeloupe,1.0,4
489,2021-07-21,Guadeloupe,1.0,0
490,2021-07-22,Guadeloupe,1.0,1
491,2021-07-23,Guadeloupe,1.0,3
492,2021-07-24,Guadeloupe,1.0,5
493,2021-07-25,Guadeloupe,1.0,0
494,2021-07-26,Guadeloupe,1.0,2
495,2021-07-27,Guadeloupe,1.0,3
496,2021-07-28,Guadeloupe,1.0,4
497,2021-07-29,Guadeloupe,1.0,3
498,2021-07-30,Guadeloupe,1.0,4
499,2021-07-31,Guadeloupe,1.0,4
500,2021-08-01,Guadeloupe,1.0,2
501,2021-08-02,Guadeloupe,1.0,4
502,2021-08-03,Guadeloupe,1.0,7
503,2021-08-04,Guadeloupe,1.0,4
504,2021-08-05,Guadeloupe,1.0,3
505,2021-08-06,Guadeloupe,1.0,8
506,2021-08-07,Guadeloupe,1.0,7
507,2021-08-08,Guadeloupe,1.0,2
508,2021-08-09,Guadeloupe,1.0,5
509,2021-08-10,Guadeloupe,1.0,7
510,2021-08-11,Guadeloupe,1.0,5
511,2021-08-12,Guadeloupe,1.0,13
512,2021-08-13,Guadeloupe,1.0,10
513,2021-08-14,Guadeloupe,1.0,2
514,2021-08-15,Guadeloupe,1.0,3
515,2021-08-16,Guadeloupe,1.0,3
516,2021-08-17,Guadeloupe,1.0,6
517,2021-08-18,Guadeloupe,1.0,14
518,2021-08-19,Guadeloupe,1.0,13
519,2021-08-20,Guadeloupe,1.0,16
520,2021-08-21,Guadeloupe,1.0,6
521,2021-08-22,Guadeloupe,1.0,6
522,2021-08-23,Guadeloupe,1.0,7
523,2021-08-24,Guadeloupe,1.0,11
524,2021-08-25,Guadeloupe,1.0,7
525,2021-08-26,Guadeloupe,1.0,8
526,2021-08-27,Guadeloupe,1.0,16
527,2021-08-28,Guadeloupe,1.0,8
528,2021-08-29,Guadeloupe,1.0,5
529,2021-08-30,Guadeloupe,1.0,4
530,2021-08-31,Guadeloupe,1.0,15
531,2021-09-01,Guadeloupe,1.0,12
532,2021-09-02,Guadeloupe,1.0,8
533,2021-09-03,Guadeloupe,1.0,7
534,2021-09-04,Guadeloupe,1.0,43
535,2021-09-05,Guadeloupe,1.0,4
536,2021-09-06,Guadeloupe,1.0,2
537,2021-09-07,Guadeloupe,1.0,5
538,2021-09-08,Guadeloupe,1.0,28
539,2021-09-09,Guadeloupe,1.0,9
540,2021-09-10,Guadeloupe,1.0,11
541,2021-09-11,Guadeloupe,1.0,6
542,2021-09-12,Guadeloupe,1.0,1
543,2021-09-13,Guadeloupe,1.0,0
544,2021-09-14,Guadeloupe,1.0,20
545,2021-09-15,Guadeloupe,1.0,5
546,2021-09-16,Guadeloupe,1.0,5
547,2021-09-17,Guadeloupe,1.0,2
548,2021-09-18,Guadeloupe,1.0,3
549,2021-09-19,Guadeloupe,1.0,2
550,2021-09-20,Guadeloupe,1.0,0
551,2021-09-21,Guadeloupe,1.0,16
552,2021-09-22,Guadeloupe,1.0,2
553,2021-09-23,Guadeloupe,1.0,3
554,2021-09-24,Guadeloupe,1.0,0
555,2021-09-25,Guadeloupe,1.0,1
556,2021-09-26,Guadeloupe,1.0,2
557,2021-09-27,Guadeloupe,1.0,0
558,2021-09-28,Guadeloupe,1.0,2
559,2021-09-29,Guadeloupe,1.0,1
560,2021-09-30,Guadeloupe,1.0,4
561,2021-10-01,Guadeloupe,1.0,1
562,2021-10-02,Guadeloupe,1.0,3
563,2021-10-03,Guadeloupe,1.0,0
564,2021-10-04,Guadeloupe,1.0,0
565,2021-10-05,Guadeloupe,1.0,5
566,2021-10-06,Guadeloupe,1.0,1
567,2021-10-07,Guadeloupe,1.0,4
568,2021-10-08,Guadeloupe,1.0,3
569,2021-10-09,Guadeloupe,1.0,0
570,2021-10-10,Guadeloupe,1.0,0
571,2021-10-11,Guadeloupe,1.0,0
572,2021-10-12,Guadeloupe,1.0,3
573,2021-10-13,Guadeloupe,1.0,0
574,2021-10-14,Guadeloupe,1.0,2
575,2021-10-15,Guadeloupe,1.0,1
576,2021-10-16,Guadeloupe,1.0,3
577,2021-10-17,Guadeloupe,1.0,0
578,2021-10-18,Guadeloupe,1.0,0
579,2021-10-19,Guadeloupe,1.0,2
580,2021-10-20,Guadeloupe,1.0,0
581,2021-10-21,Guadeloupe,1.0,1
582,2021-10-22,Guadeloupe,1.0,0
583,2021-10-23,Guadeloupe,1.0,3
584,2021-10-24,Guadeloupe,1.0,0
585,2021-10-25,Guadeloupe,1.0,0
586,2021-10-26,Guadeloupe,1.0,2
587,2021-10-27,Guadeloupe,1.0,0
588,2021-10-28,Guadeloupe,1.0,1
589,2021-10-29,Guadeloupe,1.0,0
590,2021-10-30,Guadeloupe,1.0,0
591,2021-10-31,Guadeloupe,1.0,0
592,2021-11-01,Guadeloupe,1.0,0
593,2021-11-02,Guadeloupe,1.0,0
594,2021-11-03,Guadeloupe,1.0,0
595,2021-11-04,Guadeloupe,1.0,2
596,2021-11-05,Guadeloupe,1.0,0
597,2021-11-06,Guadeloupe,1.0,1
598,2021-11-07,Guadeloupe,1.0,0
599,2021-11-08,Guadeloupe,1.0,0
600,2021-11-09,Guadeloupe,1.0,0
601,2021-11-10,Guadeloupe,1.0,0
602,2021-11-11,Guadeloupe,1.0,0
603,2021-11-12,Guadeloupe,1.0,0
604,2021-11-13,Guadeloupe,1.0,3
